/Users/jel/anaconda/bin/python /Users/jel/Documents/Personal/PycharmProjects/Project2/project_2_lenet.py
Loading training_file="./train.p"
Loading testing_file="./test.p"
num_train=37248, num_valid=1961, num_test=12630, num_classes=43
BATCH_SIZE=64, EPOCHS=1000, steps_per_epoch=582, image_shape=1024
Epoch 1: Validation loss=2.6874, Validation accuracy=0.2995
Epoch 2: Validation loss=1.5934, Validation accuracy=0.5568
Epoch 3: Validation loss=1.1126, Validation accuracy=0.6802
Epoch 4: Validation loss=0.8370, Validation accuracy=0.7573
Epoch 5: Validation loss=0.6773, Validation accuracy=0.8016
Epoch 6: Validation loss=0.5658, Validation accuracy=0.8297
Epoch 7: Validation loss=0.4796, Validation accuracy=0.8609
Epoch 8: Validation loss=0.4153, Validation accuracy=0.8812
Epoch 9: Validation loss=0.3759, Validation accuracy=0.8948
Epoch 10: Validation loss=0.3455, Validation accuracy=0.9089
Epoch 11: Validation loss=0.3218, Validation accuracy=0.9130
Epoch 12: Validation loss=0.2958, Validation accuracy=0.9229
Epoch 13: Validation loss=0.2727, Validation accuracy=0.9302
Epoch 14: Validation loss=0.2553, Validation accuracy=0.9359
Epoch 15: Validation loss=0.2429, Validation accuracy=0.9385
Epoch 16: Validation loss=0.2311, Validation accuracy=0.9427
Epoch 17: Validation loss=0.2238, Validation accuracy=0.9453
Epoch 18: Validation loss=0.2113, Validation accuracy=0.9495
Epoch 19: Validation loss=0.2051, Validation accuracy=0.9479
Epoch 20: Validation loss=0.2037, Validation accuracy=0.9474
Epoch 21: Validation loss=0.2009, Validation accuracy=0.9495
Epoch 22: Validation loss=0.1958, Validation accuracy=0.9547
Epoch 23: Validation loss=0.1923, Validation accuracy=0.9573
Epoch 24: Validation loss=0.1794, Validation accuracy=0.9604
Epoch 25: Validation loss=0.1807, Validation accuracy=0.9594
Epoch 26: Validation loss=0.1756, Validation accuracy=0.9594
Epoch 27: Validation loss=0.1786, Validation accuracy=0.9557
Epoch 28: Validation loss=0.1771, Validation accuracy=0.9615
Epoch 29: Validation loss=0.1839, Validation accuracy=0.9589
Epoch 30: Validation loss=0.1831, Validation accuracy=0.9620
Epoch 31: Validation loss=0.1833, Validation accuracy=0.9630
Epoch 32: Validation loss=0.1825, Validation accuracy=0.9594
Epoch 33: Validation loss=0.1648, Validation accuracy=0.9609
Epoch 34: Validation loss=0.1714, Validation accuracy=0.9651
Epoch 35: Validation loss=0.1663, Validation accuracy=0.9630
Epoch 36: Validation loss=0.1674, Validation accuracy=0.9672
Epoch 37: Validation loss=0.1718, Validation accuracy=0.9625
Epoch 38: Validation loss=0.1815, Validation accuracy=0.9630
Epoch 39: Validation loss=0.1668, Validation accuracy=0.9661
Epoch 40: Validation loss=0.1801, Validation accuracy=0.9625
Epoch 41: Validation loss=0.1912, Validation accuracy=0.9615
Epoch 42: Validation loss=0.1866, Validation accuracy=0.9651
Epoch 43: Validation loss=0.1829, Validation accuracy=0.9667
Epoch 44: Validation loss=0.1919, Validation accuracy=0.9656
Epoch 45: Validation loss=0.1720, Validation accuracy=0.9708
Epoch 46: Validation loss=0.2262, Validation accuracy=0.9547
Epoch 47: Validation loss=0.1711, Validation accuracy=0.9688
Epoch 48: Validation loss=0.1543, Validation accuracy=0.9740
Epoch 49: Validation loss=0.1640, Validation accuracy=0.9693
Epoch 50: Validation loss=0.1641, Validation accuracy=0.9729
Epoch 51: Validation loss=0.1832, Validation accuracy=0.9682
Epoch 52: Validation loss=0.1574, Validation accuracy=0.9750
Epoch 53: Validation loss=0.1896, Validation accuracy=0.9708
Epoch 54: Validation loss=0.1692, Validation accuracy=0.9724
Epoch 55: Validation loss=0.1691, Validation accuracy=0.9724
Epoch 56: Validation loss=0.1710, Validation accuracy=0.9755
Epoch 57: Validation loss=0.1853, Validation accuracy=0.9719
Epoch 58: Validation loss=0.1720, Validation accuracy=0.9755
Epoch 59: Validation loss=0.1776, Validation accuracy=0.9745
Epoch 60: Validation loss=0.2171, Validation accuracy=0.9682
Epoch 61: Validation loss=0.1975, Validation accuracy=0.9729
Epoch 62: Validation loss=0.1831, Validation accuracy=0.9740
Epoch 63: Validation loss=0.1897, Validation accuracy=0.9714
Epoch 64: Validation loss=0.1765, Validation accuracy=0.9755
Epoch 65: Validation loss=0.1865, Validation accuracy=0.9729
Epoch 66: Validation loss=0.2086, Validation accuracy=0.9734
Epoch 67: Validation loss=0.2135, Validation accuracy=0.9698
Epoch 68: Validation loss=0.2058, Validation accuracy=0.9682
Epoch 69: Validation loss=0.1791, Validation accuracy=0.9734
Epoch 70: Validation loss=0.1815, Validation accuracy=0.9771
Epoch 71: Validation loss=0.1813, Validation accuracy=0.9740
Epoch 72: Validation loss=0.1833, Validation accuracy=0.9755
Epoch 73: Validation loss=0.2431, Validation accuracy=0.9703
Epoch 74: Validation loss=0.2024, Validation accuracy=0.9734
Epoch 75: Validation loss=0.2151, Validation accuracy=0.9734
Epoch 76: Validation loss=0.2049, Validation accuracy=0.9740
Epoch 77: Validation loss=0.2065, Validation accuracy=0.9745
Epoch 78: Validation loss=0.2045, Validation accuracy=0.9745
Epoch 79: Validation loss=0.2012, Validation accuracy=0.9745
Epoch 80: Validation loss=0.1990, Validation accuracy=0.9755
Epoch 81: Validation loss=0.1889, Validation accuracy=0.9771
Epoch 82: Validation loss=0.2030, Validation accuracy=0.9766
Epoch 83: Validation loss=0.1965, Validation accuracy=0.9760
Epoch 84: Validation loss=0.2007, Validation accuracy=0.9760
Epoch 85: Validation loss=0.1959, Validation accuracy=0.9776
Epoch 86: Validation loss=0.2043, Validation accuracy=0.9745
Epoch 87: Validation loss=0.2395, Validation accuracy=0.9734
Epoch 88: Validation loss=0.2166, Validation accuracy=0.9734
Epoch 89: Validation loss=0.1963, Validation accuracy=0.9771
Epoch 90: Validation loss=0.1994, Validation accuracy=0.9797
Epoch 91: Validation loss=0.2019, Validation accuracy=0.9781
Epoch 92: Validation loss=0.2069, Validation accuracy=0.9760
